no,title,source_id,kind,size_bytes,size,raw_file,readable_file,named_file,open_method,url
1,특허로 특허출원가이드,SRC-001,html,121799,118.9 KB,SRC-001_8496909b50.do,SRC-001_8496909b50.html,001_SRC-001_특허로 특허출원가이드.html,HTML 웹페이지: 브라우저로 열기,https://patent.go.kr/smart/jsp/ka/menu/guide/main/GuideMain0207.do
2,특허고객번호부여신청,SRC-002,html,198711,194.1 KB,SRC-002_8c45815116.do,SRC-002_8c45815116.html,002_SRC-002_특허고객번호부여신청.html,HTML 웹페이지: 브라우저로 열기,https://patent.go.kr/smart/jsp/ka/prestep/codeapp/CodeAppView.do
3,인증서 사용등록,SRC-003,html,107461,104.9 KB,SRC-003_4c6db459ee.do,SRC-003_4c6db459ee.html,003_SRC-003_인증서 사용등록.html,HTML 웹페이지: 브라우저로 열기,https://patent.go.kr/smart/jsp/ka/pki/kipocertmgr/KCertMgrView.do
4,수수료정보안내,SRC-004,html,233369,227.9 KB,SRC-004_894134253b.do,SRC-004_894134253b.html,004_SRC-004_수수료정보안내.html,HTML 웹페이지: 브라우저로 열기,https://www.patent.go.kr/smart/jsp/ka/menu/fee/main/FeeMain01.do
5,특허의 이해,SRC-005,html,291941,285.1 KB,SRC-005_72934bb860.do,SRC-005_72934bb860.html,005_SRC-005_특허의 이해.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200111
6,특허·실용신안 심사기준 2026.03.12,SRC-006,pdf,12266980,11.7 MB,SRC-006_6548c9fa75.do,SRC-006_6548c9fa75.pdf,006_SRC-006_특허·실용신안 심사기준 2026.03.12.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?fileNum=1&seq=30
7,특허·실용신안 심사기준 2026.03.12,SRC-006,html,224054,218.8 KB,SRC-006_82b2227d3c.do,SRC-006_82b2227d3c.html,007_SRC-006_특허·실용신안 심사기준 2026.03.12.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200146
8,기술분야별 심사실무가이드 2026.03,SRC-007,pdf,24213255,23.1 MB,SRC-007_21b972afb1.do,SRC-007_21b972afb1.pdf,008_SRC-007_기술분야별 심사실무가이드 2026.03.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?fileNum=2&seq=30
9,기술분야별 심사실무가이드 2026.03,SRC-007,html,224415,219.2 KB,SRC-007_1942117df5.do,SRC-007_1942117df5.html,009_SRC-007_기술분야별 심사실무가이드 2026.03.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200147
10,출원방식심사기준,SRC-008,pdf,49923025,47.6 MB,SRC-008_a10f1904f9.do,SRC-008_a10f1904f9.pdf,010_SRC-008_출원방식심사기준.pdf,"PDF 문서: 브라우저, Preview, Acrobat으로 열기",https://www.kipo.go.kr/ko/kpoContFileDown.do?fileNum=12&seq=30
11,출원방식심사기준,SRC-008,html,164833,161.0 KB,SRC-008_ee5b997d0c.do,SRC-008_ee5b997d0c.html,011_SRC-008_출원방식심사기준.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0201119
12,보정안 리뷰,SRC-009,html,228146,222.8 KB,SRC-009_38d57c9864.do,SRC-009_38d57c9864.html,012_SRC-009_보정안 리뷰.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ko/kpoContentView.do?menuCd=SCD0200117
13,특허심판원 심판수수료_심판 종류,SRC-010,html,87836,85.8 KB,SRC-010_cae3cec926.do,SRC-010_cae3cec926.html,013_SRC-010_특허심판원 심판수수료_심판 종류.html,HTML 웹페이지: 브라우저로 열기,https://www.kipo.go.kr/ipt/iptContentView.do?menuCd=SCD0400083
