registration_number,citation_count,application_number,title,source,status,error,fetched_at
10-2932891,0,10-2024-0115774,상품 트렌드 예측을 반영한 강화학습 모델을 적용한 자산배분 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:41
10-2925867,0,10-2023-0137369,블록체인 합의 과정에서의 서명 검증 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:42
10-2917467,0,10-2023-0012295,설비 제어 프로그램에서의 시나리오 배포 방법,kipris_citing_service,ok,,2026-06-11T17:38:42
10-2915195,1,10-2023-0012300,설비 제어 프로그램에서 캐시 메모리 기반의 메시지 처리 방법,kipris_citing_service,ok,,2026-06-11T17:38:42
10-2914590,1,10-2023-0093778,무인운반차의 얼라인 시스템,kipris_citing_service,ok,,2026-06-11T17:38:43
10-2910717,3,10-2022-0144207,작업 현장에서의 위험성 평가 회의 및 작업 허가 절차를 통한 안전관리 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:43
10-2893083,0,10-2022-0180291,메시지 지향 미들웨어에서의 토폴로지 기반 시스템 상태 및 병목 구간 모니터링 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:43
10-2893065,0,10-2022-0144193,안전 점수 기반 근로자 정보 관리 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:43
10-2893064,0,10-2022-0134195,STT엔진 및 NLP를 활용한 오디오북 낭독 오류 자동 검출 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:43
10-2886381,0,10-2023-0089527,CMP Pad의 물류 관리 시스템,kipris_citing_service,ok,,2026-06-11T17:38:44
10-2881532,0,10-2023-0089519,CMP Pad의 자동 적재 시스템,kipris_citing_service,ok,,2026-06-11T17:38:44
10-2871512,0,10-2023-0037961,이미지 태깅 기반의 반려동물 사진 분류 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:44
10-2866646,0,10-2022-0180301,메시지 지향 미들웨어에서의 전송 실패한 메시지에 대한 이력 추적 및 사후 재전송이 가능한 메시지 전송 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:44
"12,417,849",0,"18/020,829","Method for Identifying Association between Disease-related Factors from Document Data, and System Constructed Using Same",kipris_citing_service,ok,,2026-06-11T17:38:45
10-2846340,1,10-2022-0144212,현장 근로자의 참여가 가능한 안전점검 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:45
10-2839200,0,10-2022-0158313,무인반송차량을 이용한 독성 물질의 운송 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:45
10-2839217,3,10-2022-0088684,반도체 소재 개발 관련 후보물질 물성예측 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:45
10-2828428,0,10-2021-0158983,보이스 스타일 분석 및 품질 자동 검수 기능을 제공하는 오디오북 제작 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:46
10-2815706,0,10-2022-0144214,작업 현장에서의 구조 요청 서비스 지원 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:46
10-2815497,6,10-2022-0070827,ESG 경영관리 플랫폼 운영 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:46
10-2789057,0,10-2022-0144203,안전 점수 기반 근로자 구인 공고 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:46
10-2782689,0,10-2023-0089517,CMP Pad의 자동 건조 시스템,kipris_citing_service,ok,,2026-06-11T17:38:46
10-2762042,0,10-2022-0150099,NF3 가스 생산 설비 내 이물질 제거 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:47
10-2762038,0,10-2022-0150081,NF3 가스 생산 설비의 정비 자동화 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:47
10-2759752,1,10-2021-0173638,이동식 다중 3D 마커 및 이를 이용한 증강현실 기반 현장 정합성 검측 시스템,kipris_citing_service,ok,,2026-06-11T17:38:47
10-2754746,0,10-2022-0027280,시장 설명 이벤트 추출 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:47
10-2753842,0,10-2023-0089515,CMP Pad의 레이저 마킹 시스템,kipris_citing_service,ok,,2026-06-11T17:38:48
10-2753879,1,10-2022-0027266,주식 시장 예측을 위한 비정형 데이터 분석 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:48
10-2743659,6,10-2021-0191287,태양광 및 수소연료전지 하이브리드 발전 시스템 제어 장치 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:48
10-2737902,0,10-2022-0027272,예측 근거를 함께 제시하는 인공지능 모델 기반 금융시장 예측 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:48
10-2736411,1,10-2022-0027510,인공지능 모델을 활용한 금융시장 데이터 예측 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:49
10-2727220,0,10-2023-0003811,안정적이고 효율적인 블록체인 서비스를 위한 다중 스마트 컨트랙트 배포 및 운영 시스템,kipris_citing_service,ok,,2026-06-11T17:38:49
10-2713723,1,10-2021-0087601,멀티 자연어 처리 엔진 기반의 챗봇 시나리오 시스템,kipris_citing_service,ok,,2026-06-11T17:38:49
10-2692497,0,10-2022-0027287,인공지능 모델 기반 금융시장 예측 정보 제공 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:49
10-2686678,2,10-2022-0027497,이상치 제거를 위한 금융시장 데이터 처리 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:38:50
10-2686249,2,10-2021-0160244,모델 서버 스케일링을 제어하는 AI 모델 운영 장치 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:50
"12,032,469",0,"17/420,237",EXPLAINABLE ARTIFICIAL INTELLIGENCE MODELING AND SIMULATION SYSTEM AND METHOD,kipris_citing_service,ok,,2026-06-11T17:38:50
10-2663094,0,10-2021-0160178,단일 엔드포인트를 이용한 AI 모델 운영 장치 및 방법,kipris_citing_service,ok,,2026-06-11T17:38:50
10-2643048,4,10-2022-0049064,네트워크 이중화 전자 패치 장치,kipris_citing_service,ok,,2026-06-11T17:38:51
